Zimbabwe, -19.015438, 29.154858
Japan, 36.204823, 138.25293
Saint Kitts and Nevis, 17.357822, -62.782997
Lebanon, 33.85472, 35.862286
Jamaica, 18.109581, -77.29751
Singapore, 1.352083, 103.81984
Italy, 41.87194, 12.56738
Greece, 39.074207, 21.824312
Sudan, 12.862807, 30.217636
Belgium, 50.503887, 4.469936
Iceland, 64.96305, -19.020836
Nicaragua, 12.865416, -85.20723
Israel, 31.046051, 34.851612
Sri Lanka, 7.873054, 80.7718
Egypt, 26.820553, 30.802498
France, 46.22764, 2.213749
Germany, 51.16569, 10.451526
Portugal, 39.39987, -8.224454
Hungary, 47.162495, 19.503304
Canada, 56.130367, -106.34677
Jordan, 30.585163, 36.238415
United Kingdom, 55.37805, -3.435973
Ghana, 7.946527, -1.023194
Austria, 47.51623, 14.550072
Malta, 35.937496, 14.375416
Cote d'Ivoire, 7.539989, -5.54708
Ireland, 53.41291, -8.24389
Netherlands, 52.132633, 5.291266
Croatia, 45.1, 15.2
Norway, 60.472023, 8.468946
India, 20.593683, 78.96288
Philippines, 12.879721, 121.77402
Uruguay, -32.522778, -55.765835
Mauritius, -20.348404, 57.55215
Malawi, -13.254308, 34.301525
Bhutan, 27.514162, 90.4336
El Salvador, 13.794185, -88.89653
Albania, 41.15333, 20.168331
Kenya, -0.023559, 37.906193
Morocco, 31.791702, -7.09262
Tunisia, 33.886917, 9.537499
Cyprus, 35.12641, 33.42986
Vietnam, 14.058324, 108.2772
Spain, 40.46367, -3.74922
Panama, 8.537981, -80.78213
Costa Rica, 9.748917, -83.753426
Argentina, -38.416096, -63.616673
Turkey, 38.963745, 35.24332
Malaysia, 4.210484, 101.97577
Poland, 51.919437, 19.145136
United Arab Emirates, 23.424076, 53.847816
Brazil, -14.235004, -51.92528
Aruba, 12.52111, -69.96834
Colombia, 4.570868, -74.29733
Thailand, 15.870032, 100.99254
Pakistan, 30.37532, 69.345116
Bolivia, -16.290154, -63.588654
Seychelles, -4.679574, 55.491978
Switzerland, 46.818188, 8.227512
Sweden, 60.128162, 18.643501
Bosnia and Herzegovina, 43.915886, 17.679075
Mexico, 23.6345, -102.55279
Dominican Republic, 18.735693, -70.16265
Finland, 61.92411, 25.748152
United States, 37.09024, -95.71289
Yemen, 15.552727, 48.516388
Denmark, 56.26392, 9.501785
Bangladesh, 23.684994, 90.35633
Montenegro, 42.70868, 19.37439
Serbia, 44.01652, 21.00586
South Africa, -30.559483, 22.937506
Cuba, 21.521757, -77.781166
Gabon, -0.803689, 11.609444
Slovakia, 48.669025, 19.699024
Taiwan, 23.69781, 120.96052
Papua New Guinea, -6.314993, 143.95555
Czech Republic, 49.817493, 15.472962
Guatemala, 15.783471, -90.23076
Latvia, 56.879635, 24.60319
Macedonia, 41.608635, 21.745275
Ecuador, -1.831239, -78.1834
Syria, 34.802074, 38.996815
Ethiopia, 9.145, 40.489674
Zambia, -13.133897, 27.849333
Slovenia, 46.15124, 14.995463
Lithuania, 55.169437, 23.881275
Moldova, 47.411633, 28.369884
Bahrain, 25.930414, 50.63777
Indonesia, -0.789275, 113.921326
New Zealand, -40.90056, 174.88597
Korea, 35.907757, 127.76692
Trinidad and Tobago, 10.691803, -61.222504
Mozambique, -18.665695, 35.529564
Peru, -9.189967, -75.01515
Tanzania, -6.369028, 34.88882
Honduras, 15.199999, -86.241905
Senegal, 14.497401, -14.452362
Paraguay, -23.442503, -58.443832
Ukraine, 48.379433, 31.16558
Saudi Arabia, 23.885942, 45.079163
Romania, 45.94316, 24.96676
Iran, 32.42791, 53.688046
Venezuela, 6.42375, -66.58973
Uganda, 1.373333, 32.290276
Namibia, -22.95764, 18.49041
Australia, -25.274399, 133.77513
China, 35.86166, 104.1954
Hong Kong, 22.396427, 114.1095
Botswana, -22.328474, 24.684866
Nigeria, 9.081999, 8.675277
Angola, -11.202692, 17.873886
Gibraltar, 36.13774, -5.345374
Bulgaria, 42.733883, 25.48583
Luxembourg, 49.815273, 6.129583
Cameroon, 7.369722, 12.354722
Kazakhstan, 48.019573, 66.92368
Uzbekistan, 41.37749, 64.58526
Algeria, 28.033886, 1.659626
Chile, -35.675148, -71.54297
Kuwait, 29.31166, 47.481766
Estonia, 58.595272, 25.013607
Qatar, 25.354826, 51.183884
Russia, 61.52401, 105.318756
Libya, 26.3351, 17.22833
Wallis and Futuna, -13.768752, -177.1561
Azerbaijan, 40.143105, 47.576927
Oman, 21.512583, 55.923256
Equatorial Guinea, 1.650801, 10.267895
